data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,event_code,subevent_code
5008485,566,NIG309,309,31 December 1998,1998,exact date,Battles,Armed clash,Ijaw Ethnic Militia (Nigeria),,identity militias,Military Forces of Nigeria (1993-1999),,state forces,military vs communal militia,Western Africa,Nigeria,Bayelsa,Yenegoa,,Yenagoa,4.9246998,6.2642002,high,Reuters News,International,Three members of the Ijaw militia were shot dead by troops as they stormed an oil administrators office demanding compensation.,3,1552577672,NGA,Battles,Armed clash
5008520,566,NIG308,308,30 December 1998,1998,exact date,Violence against civilians,Abduction/forced disappearance,Ijaw Ethnic Militia (Nigeria),,identity militias,Civilians (Nigeria),,civilians,communal militia vs civilians,Western Africa,Nigeria,Delta,Warri South West,,Escravos,5.5801001,5.1792002,medium,Agence France Presse,International,"Ijaw youths seized a boat with 17 Chevron employees, and held six Nigerian passengers captive",0,1552577672,NGA,Violence against civilians,Abduction/forced disappearance
5008577,566,NIG307,307,28 December 1998,1998,exact date,Protests,Peaceful protest,Protesters (Nigeria),OPC: Oodua Peoples Congress,protesters,,,0,sole protester action,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,high,P.M. News,Subnational,the Idimu chapter of the Oodua Peoples Congress (OPC) embarked on a peaceful protest against the current increase in the pump price of petroleum products,0,1552577672,NGA,Protests,Peaceful protest
5008754,566,NIG305,305,19 December 1998,1998,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Benue,Oturkpo,,Oturkpo,7.1914001,8.1332998,high,P.M. News,Subnational,"Personal Assistant to former Communications Minister, Brig. General David Mark (RTD) was shot at Oturkpo by people suspected to be hired assassins",0,1552577672,NGA,Violence against civilians,Attack
5008764,566,NIG306,306,19 December 1998,1998,exact date,Battles,Armed clash,Ijaw Ethnic Militia (Nigeria),,identity militias,Ilajes Ethnic Militia (Nigeria),,identity militias,communal militia vs communal militia,Western Africa,Nigeria,Ondo,Ilaje,,Aiyetoro,6.1009998,4.7771001,high,Agence France Presse; The Vanguard,National-international,"At least 20 people have died in a renewed clash over oil rights when 10 boats belonging to ethnic Ijaws were sunk by their rival neighbours, the Ilajes",20,1552577672,NGA,Battles,Armed clash
5008767,566,NIG304,304,18 December 1998,1998,within week,Battles,Armed clash,Tiv Ethnic Militia (Nigeria),,identity militias,Igbo Ethnic Militia (Nigeria),,identity militias,communal militia vs communal militia,Western Africa,Nigeria,Benue,Gboko,,Gboko,7.3179002,8.9951,high,Reuters News,International,Ethnic groups clash over the period of a week,0,1552577672,NGA,Battles,Armed clash
5008783,566,NIG303,303,17 December 1998,1998,exact date,Strategic developments,Other,Isoko Ethnic Militia (Nigeria),,identity militias,,,0,sole communal militia action,Western Africa,Nigeria,Osun,Ejigbo,,Isoko,7.9166999,4.2832999,high,Reuters News,International,Non-violent activity: Isoko youths takeover Shell flow station in Delta State.,0,1552577672,NGA,Strategic developments,Other
5008814,566,NIG302,302,15 December 1998,1998,exact date,Violence against civilians,Attack,Unidentified Armed Group (Niger),Unidentified Armed Group (Chad),political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Zamfara,Gusau,,Gusau,12.1628,6.6613998,low,The News (Lagos),Subnational,"On 26 December, 15 suspected rebels from Chad and Niger, disguised as herdsmen, attacked some villagers at Umguwar Yabo village, Danki in Zamfara State, with guns. Injuries reported, but no deaths.",0,1552577672,NGA,Violence against civilians,Attack
5008815,566,NIG299,299,15 December 1998,1998,exact date,Riots,Violent demonstration,Rioters (Nigeria),,rioters,,,0,sole rioter action,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,P.M. News,Subnational,"Thousands of civil servants barricaded the main gate of Government House Port Harcourt and held the state military administrator, Group Capt. Sam Ewang, hostage for several hours to protest the dismissal of five of their leaders by the state government",0,1552577672,NGA,Riots,Violent demonstration
5008813,566,NIG301,301,15 December 1998,1998,exact date,Battles,Armed clash,Police Forces of Nigeria (1993-1999),Unidentified Armed Group (Chad),state forces,Unidentified Armed Group (Niger),Unidentified Armed Group (Chad),political militias,military vs political militia,Western Africa,Nigeria,Zamfara,Gusau,,Gusau,12.1628,6.6613998,low,The News (Lagos),Subnational,"Following an attack on a village in Zamfara, police pursued and a gun battle broke out, resulting in two policemen being injured.",0,1552577672,NGA,Battles,Armed clash
