data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,event_code,subevent_code
4889333,566,NIG5333,5333,31 December 2013,2013,exact date,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),identity militias,Civilians (Nigeria),Christian Group (Nigeria),civilians,communal militia vs civilians,Western Africa,Nigeria,Plateau,Bokkos,,Bokkos,9.3000002,9,medium,This Day (Lagos),Subnational,"Two persons killed in the evening hours, while 16 others were severely injured when gunmen, suspected to be Fulani herdsmen, attacked a Christian church during a New Years Eve service at Maikatako village in Bokkos LGA. Other sources state three were killed in the attack.",2,1552577429,NGA,Violence against civilians,Attack
4889326,566,NIG5332,5332,31 December 2013,2013,exact date,Protests,Peaceful protest,Protesters (Nigeria),,protesters,,,0,sole protester action,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,high,This Day (Lagos),Subnational,"Cab operators numbering over 200 at the international terminal of the Murtala Muhammed International Airport in Lagos protested over a directive from the Federal Airports Authority of Nigeria (FAAN) to relocate to a new site to give way for the construction of a multi-storey car park. The cab operators under the aegis of Airport Car Hire Association of Nigeria (ACHAN) accused FAAN of not carrying them along in its quest to build a new car park at the terminal, thus harming their business.",0,1552577429,NGA,Protests,Peaceful protest
4889327,566,NIG5331,5331,31 December 2013,2013,exact date,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,state forces,Unidentified Armed Group (Nigeria),,political militias,military vs political militia,Western Africa,Nigeria,Gombe,Gombe,,Gombe,10.2897,11.1673,medium,Xinhua,International,Unknown gunmen killed two police and injured one in Ceceniya quarters area of the state. The attack took place New Years Eve at about 11:45 pm local time.,2,1552577429,NGA,Battles,Armed clash
4889347,566,NIG5329,5329,30 December 2013,2013,exact date,Protests,Peaceful protest,Protesters (Nigeria),,protesters,,,0,sole protester action,Western Africa,Nigeria,Lagos,Eti-Osa,,Victoria Island,6.4281001,3.4219999,high,Daily Trust (Abuja),Subnational,"Residents protest in anger, threatening violence, against a soldier who had beaten a commercial bus driver to death following minor squabble the previous day. The soldier was later arrested.",0,1552577429,NGA,Protests,Peaceful protest
4889348,566,NIG5330,5330,30 December 2013,2013,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),Government of Nigeria (1999-2015),civilians,political militia vs civilians,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Abuja,9.0832996,7.5332999,high,Daily Trust (Abuja),Subnational,A deputy director in the office of the Head of the Civil Service of the Federation has been killed at his home by unknown persons. It is not clear if the attack was politically motivated.,1,1552577429,NGA,Violence against civilians,Attack
5183166,566,NIG5327,5327,29 December 2013,2013,exact date,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,state forces,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,political militias,military vs political militia,Western Africa,Nigeria,Borno,Gwoza,,Alafa,11.3334,13.5417,high,This Day (Lagos),Subnational,There were reports of intensive fighting during the early morning hours between the Nigerian security forces and suspected members of Boko Haram insurgents at Alafa Village in the Lake Chad area. 56 Boko Haram causalities were officially reported by the military. Two military injuries reported.,56,1558387848,NGA,Battles,Armed clash
4889412,566,NIG5328,5328,29 December 2013,2013,exact date,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,political militias,Civilians (Nigeria),Christian Group (Nigeria),civilians,political militia vs civilians,Western Africa,Nigeria,Borno,Hawul,,Tashon Alade,10.4884,12.4197,high,Vanguard (Lagos),Subnational,"Suspected Boko Haram members attack a wedding party in Tashon Alade, killing twelve. According to witnesses the attackers shot indiscriminately, later escaping to hills outside the town. Tashon Alade has a heavy Christian population.",12,1552577430,NGA,Violence against civilians,Attack
4889453,566,NIG5326,5326,29 December 2013,2013,exact date,Violence against civilians,Attack,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Borno,Hawul,,Kwajaffa Babur,10.4646,12.418,high,Associated Press,International,"Suspected Boko Haram members attack residents of Kwajaffa, killing four. The attack is likely related to an attack on a wedding party in nearby Tashon Alade.",4,1552577430,NGA,Violence against civilians,Attack
4889533,566,NIG5325,5325,27 December 2013,2013,exact date,Protests,Peaceful protest,Protesters (Nigeria),,protesters,,,0,sole protester action,Western Africa,Nigeria,Bayelsa,Kolokuma/Opokuma,,Odi,5.1738,6.2997999,high,The Sun (Nigeria),National,"The people of Odi in Kolokuma/ Opokuma Local Government Area of Bayelsa State staged a protest against the Federal Government demanding payment of the N37.6 billion compensation for the ""invasion and destruction of Odi in 1999 during the tenure of former President Olusegun Obasanjo."" No reported police involvement.",0,1552577430,NGA,Protests,Peaceful protest
4889570,566,NIG5324,5324,27 December 2013,2013,exact date,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),identity militias,Tiv Ethnic Militia (Nigeria),,identity militias,communal militia vs communal militia,Western Africa,Nigeria,Benue,Guma,,Agasha,7.7165999,8.8990002,high,The Sun (Nigeria),National,A renews Tiv-Fulani clash claims seven lives.,7,1552577430,NGA,Battles,Armed clash
4889619,566,NIG5323,5323,26 December 2013,2013,exact date,Violence against civilians,Attack,Military Forces of Nigeria (1999-2015),,state forces,Civilians (Nigeria),,civilians,military vs civilians,Western Africa,Nigeria,Niger,Chanchaga,,Minna,9.6139002,6.5569,low,Leadership (Abuja),Subnational,"Military personnel shot dead a 22-year-old Student of Hassan Usman Katsina Polytechnic during a routine stop and search procedure. The reason for the shooting is not known. The location of the shooting is not known, though it was learned the student was en route to Minna.",1,1552577430,NGA,Violence against civilians,Attack
4889668,566,NIG5322,5322,25 December 2013,2013,exact date,Battles,Armed clash,Police Forces of Nigeria (1999-2015),,state forces,Unidentified Armed Group (Nigeria),,political militias,military vs political militia,Western Africa,Nigeria,Akwa Ibom,Eket,,Eket,4.6412001,7.9208999,high,This Day (Lagos),Subnational,Four persons were feared killed and many others wounded when the Police and community youths (affiliation not named) clashed at an event to mark the Christmas celebration in Okon Eket village in Eket Local Government Area of the Akwa Ibom State. The reason for the clash is not known. Police deny their forces had killed any combatants.,4,1552577430,NGA,Battles,Armed clash
4889730,566,NIG5321,5321,24 December 2013,2013,exact date,Violence against civilians,Attack,Military Forces of Nigeria (1999-2015),,state forces,Civilians (Nigeria),,civilians,military vs civilians,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Abuja,9.0832996,7.5332999,medium,Vanguard (Lagos),Subnational,Soldiers indiscriminately attack market shoppers without provocation or known reason. The soldiers may have been inebriated.,0,1552577430,NGA,Violence against civilians,Attack
4889809,566,NIG5319,5319,23 December 2013,2013,exact date,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),,political militias,Civilians (Lebanon),,civilians,political militia vs civilians,Western Africa,Nigeria,Kano,Kano Municipal,,Kano,12,8.5166998,high,Vanguard (Lagos),Subnational,Unidentified gunmen abduct a Lebanese expatriate at a plastic company in Sharada Industrial zone of the city. The Kano area has been attacked repeatedly by Boko Haram in the recent past but it was not clear if the insurgent group was behind the abduction.,0,1552577430,NGA,Violence against civilians,Abduction/forced disappearance
5181344,566,NIG5316,5316,23 December 2013,2013,exact date,Protests,Peaceful protest,Protesters (Nigeria),WAI: Women Arise Initiative,protesters,,,0,sole protester action,Western Africa,Nigeria,Lagos,Ikeja,,Alausa,6.6096001,3.3566,high,Daily Trust (Abuja),Subnational,"Rights activists under a group called Women Arise Initiative occupied major roads and streets leading to the Lagos State Secretariat and the state House of Assembly complex at Alausa Ikeja, protesting against what they called continuous violation of rights of women. The group cited examples of forces public humiliation, such as being stripped of their clothes as punishment for minor crimes.",0,1557850486,NGA,Protests,Peaceful protest
4889803,566,NIG5318,5318,23 December 2013,2013,exact date,Protests,Peaceful protest,Protesters (Nigeria),Muslim Group (Nigeria),protesters,,,0,sole protester action,Western Africa,Nigeria,Benue,Guma,,Gbajimba,7.8154998,8.8604002,medium,Vanguard (Lagos),Subnational,"Following the attack on Gbajimba by a Fulani group, police in the area arrested several Muslims in the area, believing them to be sympathetic. This sparked anger from several members of the local community leading to a street protest against the harassment.",0,1552577430,NGA,Protests,Peaceful protest
4889811,566,NIG5317,5317,23 December 2013,2013,exact date,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),identity militias,Civilians (Nigeria),,civilians,communal militia vs civilians,Western Africa,Nigeria,Benue,Guma,,Gbajimba,7.8154998,8.8604002,medium,Daily Trust (Abuja),Subnational,"Fifteen are killed and property destroyed when Fulani attackers laid sedge to several areas in Guma LGA, including Nzrov village.",15,1552577430,NGA,Violence against civilians,Attack
