data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,event_code,subevent_code
4995808,566,NIG812,812,31 December 2001,2001,exact date,Riots,Violent demonstration,Rioters (Nigeria),,rioters,,,0,sole rioter action,Western Africa,Nigeria,Plateau,Jos North,,Jos,9.9285002,8.8921003,high,All Africa,Regional,Eighteen are dead as the people of Vwang district in Jos riot,18,1552577658,NGA,Riots,Violent demonstration
4995806,566,NIG811,811,31 December 2001,2001,exact date,Battles,Armed clash,Muslim Militia (Nigeria),,identity militias,Police Forces of Nigeria (1999-2015),,state forces,military vs communal militia,Western Africa,Nigeria,Kano,Kano Municipal,,Kano,11.9702,8.5044003,high,Reuters News,International,A muslim militia kill a police officer with an arrow in Kano.,1,1552577658,NGA,Battles,Armed clash
4995862,566,NIG810,810,23 December 2001,2001,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Oyo,Ibadan North West,,Ibadan,7.3878002,3.8964,high,Agence France Presse,International,Nigerias Justice Minister Bola Ige has been shot dead by unknown assailants in Ibadan.,1,1552577658,NGA,Violence against civilians,Attack
4995867,566,NIG809,809,22 December 2001,2001,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Ogun,Ifo,,Iseri-Oke,6.6409001,3.3873,high,Xinhua News,International,An armed group kill five travelers.,5,1552577658,NGA,Violence against civilians,Attack
4995876,566,NIG808,808,21 December 2001,2001,exact date,Battles,Armed clash,Okodia Communal Militia (Nigiera),,identity militias,Biseni Communal Militia (Nigeria),,identity militias,communal militia vs communal militia,Western Africa,Nigeria,Bayelsa,Yenegoa,,Biseni,5.2421999,6.5419002,high,Reuters News,International,11 are dead when members of the village of Okodia attack the village of Biseni to avenge the death of a fishermen.,11,1552577658,NGA,Battles,Armed clash
4995882,566,NIG807,807,20 December 2001,2001,exact date,Riots,Violent demonstration,Rioters (Nigeria),,rioters,,,0,sole rioter action,Western Africa,Nigeria,Jigawa,Auyo,,Hadejia,12.4498,10.0444,high,Xinhua News,International,Rioters in Hadejia burn down the local police station when the department released a known criminal.,0,1552577658,NGA,Riots,Violent demonstration
4995883,566,NIG806,806,20 December 2001,2001,exact date,Battles,Armed clash,Bakassi Boys Militia,,political militias,Militia (Street Traders),,political militias,political militia vs political militia,Western Africa,Nigeria,Imo,Owerri-Municipal,,Owerri,5.4833002,7.0303998,high,Reuters News,International,"Four are dead when the government funded """"Bakassi Boys attack market traders in Owerri.""",4,1552577658,NGA,Battles,Armed clash
4995881,566,NIG805,805,20 December 2001,2001,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Abuja,9.0832996,7.5332999,high,Agence France Presse,International,Police kill two armed robbers in the Federal Capital Territory.,2,1552577658,NGA,Battles,Armed clash
4995897,566,NIG804,804,19 December 2001,2001,exact date,Violence against civilians,Attack,ANPP: All Nigeria Peoples Party,,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Osun,Ife East,,Ife-Ife,7.4667001,4.5667,high,Associated Press Newswires,International,Odunayo Olagbaju,0,1552577658,NGA,Violence against civilians,Attack
4995950,566,NIG803,803,11 December 2001,2001,exact date,Violence against civilians,Attack,Military Forces of Nigeria (1999-2015),,state forces,Civilians (Nigeria),,civilians,military vs civilians,Western Africa,Nigeria,Kaduna,Kaduna North,,Kaduna,10.5222,7.4383001,high,Agence France Presse,International,A dunked soldier open fire on a group of Muslims,0,1552577658,NGA,Violence against civilians,Attack
