data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,event_code,subevent_code
4970473,566,NIG2179,2179,17 November 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Imo,Owerri-Municipal,,Owerri,5.4833002,7.0303998,high,Vanguard (Nigeria),National,Imo State police kill two kidnappers who allegedly killed victims.,2,1552577629,NGA,Battles,Armed clash
4970487,566,NIG2178,2178,16 November 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,Vanguard (Nigeria),National,Unknown gunmen open fire on police at a checkpoint.,0,1552577629,NGA,Battles,Armed clash
4970500,566,NIG2177,2177,15 November 2008,2008,exact date,Strategic developments,Looting/property destruction,Unidentified Armed Group (Nigeria),,political militias,,,0,sole political militia action,Western Africa,Nigeria,Bayelsa,Sagbama,,Niger Delta,4.8333001,6,medium,Reuters News,International,Property destruction: Chevron oil pipeline is attacked in the Delta,0,1552577629,NGA,Strategic developments,Looting/property destruction
4970511,566,NIG2176,2176,13 November 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Kano,Kano Municipal,,Kano,11.9702,8.5044003,low,Vanguard (Nigeria),National,Mallam Buba Jilbril,0,1552577629,NGA,Violence against civilians,Attack
4970543,566,NIG2175,2175,11 November 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,Vanguard (Nigeria),National,The Deputy General Manager of Integrated Logistics Services,0,1552577629,NGA,Violence against civilians,Attack
4970579,566,NIG2174,2174,09 November 2008,2008,within week,Strategic developments,Looting/property destruction,Unidentified Armed Group (Nigeria),,political militias,,,0,sole political militia action,Western Africa,Nigeria,Bayelsa,Yenegoa,,Yenagoa,4.9246998,6.2642002,low,The Oil Daily,Other,Property destruction: Armed Group launch attacks on the oil industry.,0,1552577629,NGA,Strategic developments,Looting/property destruction
4970608,566,NIG2173,2173,07 November 2008,2008,exact date,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),,political militias,Civilians (International),,civilians,political militia vs civilians,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,Reuters News,International,Unknown gunmen kidnap two German nationals in Port Harcourt.,0,1552577629,NGA,Violence against civilians,Abduction/forced disappearance
4970662,566,NIG2172,2172,04 November 2008,2008,exact date,Strategic developments,Looting/property destruction,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,,,0,sole rebels action,Western Africa,Nigeria,Rivers,Bonny,,Bonny,4.4521999,7.1680999,medium,Reuters News,International,Property destruction: Members of MEND destroy part of an oil pipeline in Delta State.,0,1552577629,NGA,Strategic developments,Looting/property destruction
4970687,566,NIG2170,2170,01 November 2008,2008,exact date,Explosions/Remote violence,Remote explosive/landmine/IED,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Civilians (Nigeria),,civilians,rebels vs civilians,Western Africa,Nigeria,Rivers,Bonny,,Bonny,4.4521999,7.1680999,high,Reuters News,International,Oil tanker bombed by MEND.,0,1552577629,NGA,Explosions/Remote violence,Remote explosive/landmine/IED
4970702,566,NIG2169,2169,30 October 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,high,All Africa,Regional,Armed robbers on Thursday attacked Bisi Akande,0,1552577629,NGA,Violence against civilians,Attack
4970766,566,NIG2168,2168,25 October 2008,2008,exact date,Violence against civilians,Attack,Pirates (Nigeria),,political militias,Civilians (International),,civilians,political militia vs civilians,Western Africa,Nigeria,Bayelsa,Sagbama,,Niger Delta,4.8333001,6,medium,All Africa,Regional,Sea pirates overtake two oil vessels in the Delta region,0,1552577629,NGA,Violence against civilians,Attack
4970778,566,NIG2167,2167,24 October 2008,2008,exact date,Battles,Armed clash,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015),,state forces,military vs rebels,Western Africa,Nigeria,Bayelsa,Sagbama,,Niger Delta,4.8333001,6,medium,Agence France Presse,International,Nigerian Military kill two militants in the delta region.,2,1552577629,NGA,Battles,Armed clash
4970797,566,NIG2166,2166,21 October 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Abia,Umu-Nneochi,,Lokpanta,5.9896002,7.4617,high,Vanguard (Nigeria),National,The police in Lokpanta kill four known robbers.,4,1552577629,NGA,Battles,Armed clash
4970793,566,NIG2165,2165,21 October 2008,2008,within week,Battles,Armed clash,Iselegu Ethnic Militia (Nigeria),,identity militias,Ibabu Ethnic Militia (Nigeria),,identity militias,communal militia vs communal militia,Western Africa,Nigeria,Delta,Ndokwa East,,Aboh,5.5464001,6.5281,medium,All Africa,Regional,The Iselegu and Ibabu communities of Delta State clash in a land dispute,0,1552577629,NGA,Battles,Armed clash
4970801,566,NIG2164,2164,20 October 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Ogun,Ijebu North,,Ago,6.9362001,3.9219999,high,Vanguard (Nigeria),National,Cultists invade Olabisi Onabanjo University,0,1552577629,NGA,Violence against civilians,Attack
4970872,566,NIG2163,2163,15 October 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Military Forces of Nigeria (1999-2015) Joint Task Force,,state forces,military vs political militia,Western Africa,Nigeria,Rivers,Bonny,,Bonny,4.4521999,7.1680999,medium,Vanguard (Nigeria),National,JTF members kill 15 members of a militant group following an attack.,15,1552577629,NGA,Battles,Armed clash
4970871,566,NIG2162,2162,15 October 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Military Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Rivers,Bonny,,Bonny,4.4521999,7.1680999,high,Reuters News,International,Gunmen attack Naval members on an oil vessel off Bonny Island. No reported deaths. The Navy recover various arms following the attack.,0,1552577629,NGA,Battles,Armed clash
4970901,566,NIG2161,2161,13 October 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Nasarawa,Lafia,,Lafia,8.4833002,8.5166998,high,All Africa,Regional,A journalist for the Nasarawa State Broadcasting Service was killed by unknown assailants.,1,1552577629,NGA,Violence against civilians,Attack
4970918,566,NIG2160,2160,12 October 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,Vanguard (Nigeria),National,Police kill two militants in Port Harcourt,2,1552577629,NGA,Battles,Armed clash
4970939,566,NIG2159,2159,10 October 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Ogun,Abeokuta South,,Abeokuta,7.1500001,3.3499999,high,Vanguard (Nigeria),National,Violence in Ogun State kills 6.,6,1552577629,NGA,Violence against civilians,Attack
4970968,566,NIG2158,2158,09 October 2008,2008,exact date,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Nigeria (1999-2015),,state forces,Civilians (Nigeria),,civilians,military vs civilians,Western Africa,Nigeria,Kaduna,Kachia,,Kachia,9.8733997,7.9541001,high,All Africa,Regional,Two killed and five injured when an explosion detonates at a military firing range in Kaduna State.,2,1552577629,NGA,Explosions/Remote violence,Remote explosive/landmine/IED
4971004,566,NIG2157,2157,07 October 2008,2008,within week,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,high,This Day (Nigeria),Subnational,Gunmen kill Ernst Agu,1,1552577629,NGA,Violence against civilians,Attack
4971003,566,NIG2156,2156,07 October 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Unidentified Armed Group (Nigeria),,political militias,political militia vs political militia,Western Africa,Nigeria,Lagos,Alimosho,,Ayobo,6.5999999,3.2333,high,Vanguard (Nigeria),National,Two groups of civilians clash over land in Lagos State.,0,1552577629,NGA,Battles,Armed clash
4971028,566,NIG2155,2155,06 October 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Military Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Bayelsa,Sagbama,,Niger Delta,4.8333001,6,medium,All Africa,Regional,Militants strike again following initial attack,0,1552577629,NGA,Battles,Armed clash
4971144,566,NIG2154,2154,28 September 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Benue,Makurdi,,Makurdi,7.7410998,8.5121002,high,All Africa,Regional,"A staff member of the Nigerian National Film and Video Censors Board (NFVCB) is shot and killed in Makurdi Benue State. """,1,1552577630,NGA,Violence against civilians,Attack
4971158,566,NIG2153,2153,27 September 2008,2008,within week,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Ogun,Abeokuta South,,Abeokuta,7.1500001,3.3499999,high,All Africa,Regional,Hoodlums attack three lawmakers in Ogun State. Those attacked include Olatokunbo Oshin (Ijebu North),0,1552577630,NGA,Violence against civilians,Attack
4971179,566,NIG2152,2152,25 September 2008,2008,within week,Battles,Government regains territory,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015),,state forces,military vs rebels,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,low,International Oil Daily,Other,Army launches attack against MEND to rid them of the oil rich south.,0,1552577630,NGA,Battles,Government regains territory
5183373,566,NIG2151,2151,24 September 2008,2008,within week,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Unidentified Armed Group (Nigeria),,political militias,political militia vs political militia,Western Africa,Nigeria,Yobe,Gujba,,Gujba,11.5032,11.9367,high,All Africa,Regional,Communal conflict among civilians kills two,2,1558387849,NGA,Battles,Armed clash
4971283,566,NIG2148,2148,17 September 2008,2008,exact date,Strategic developments,Looting/property destruction,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,,,0,sole rebels action,Western Africa,Nigeria,Rivers,Bonny,,Bonny,4.4521999,7.1680999,medium,News Wires,International,Property destruction: MEND sabotages Shell pipeline at Cawthorne Channel.,0,1552577630,NGA,Strategic developments,Looting/property destruction
4971299,566,NIG2147,2147,15 September 2008,2008,exact date,Violence against civilians,Attack,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Civilians (Nigeria),,civilians,rebels vs civilians,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,low,Platts Commodity News,Other,MEND attacks a flow station in south,0,1552577630,NGA,Violence against civilians,Attack
4971323,566,NIG2145,2145,14 September 2008,2008,exact date,Strategic developments,Change to group/activity,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015) Joint Task Force,,state forces,military vs rebels,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,All Africa,Regional,MEND declares oil war in Delta,0,1552577630,NGA,Strategic developments,Change to group/activity
4971332,566,NIG2144,2144,14 September 2008,2008,exact date,Battles,Armed clash,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015) Joint Task Force,,state forces,military vs rebels,Western Africa,Nigeria,Bayelsa,Ogbia,,Ogbomama,4.6567001,6.2154002,high,All Africa,Regional,Nigerian security forces attack MEND at Ogboma.,0,1552577630,NGA,Battles,Armed clash
4971334,566,NIG2142,2142,14 September 2008,2008,exact date,Strategic developments,Change to group/activity,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015),,state forces,military vs rebels,Western Africa,Nigeria,Rivers,Akuku Toru,,Kula,4.3417001,6.6440001,high,All Africa,Regional,MEND declares oil war in Delta,0,1552577630,NGA,Strategic developments,Change to group/activity
4971335,566,NIG2143,2143,14 September 2008,2008,exact date,Strategic developments,Change to group/activity,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015) Joint Task Force,,state forces,military vs rebels,Western Africa,Nigeria,Bayelsa,Nembe,,Nembe,4.5394001,6.4003,high,All Africa,Regional,MEND declares oil war in Delta,0,1552577630,NGA,Strategic developments,Change to group/activity
4971336,566,NIG2146,2146,14 September 2008,2008,exact date,Strategic developments,Change to group/activity,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015) Joint Task Force,,state forces,military vs rebels,Western Africa,Nigeria,Rivers,Akuku Toru,,Soku,4.6754999,6.6803002,high,All Africa,Regional,MEND declares oil war in Delta,0,1552577630,NGA,Strategic developments,Change to group/activity
4971344,566,NIG2139,2139,13 September 2008,2008,exact date,Violence against civilians,Attack,Military Forces of Nigeria (1999-2015) Joint Task Force,,state forces,Civilians (Nigeria),,civilians,military vs civilians,Western Africa,Nigeria,Rivers,Akuku Toru,,Kula,4.3417001,6.6440001,high,IRIN News,Other,Nigerian security forces attack villages in search of MEND militants; many civilians affected,0,1552577630,NGA,Violence against civilians,Attack
4971346,566,NIG2140,2140,13 September 2008,2008,exact date,Violence against civilians,Attack,Military Forces of Nigeria (1999-2015) Joint Task Force,,state forces,Civilians (Nigeria),,civilians,military vs civilians,Western Africa,Nigeria,Rivers,Akuku Toru,,Soku,4.6754999,6.6803002,high,IRIN News,Other,Nigerian security forces attack villages in search of MEND militants; many civilians affected,0,1552577630,NGA,Violence against civilians,Attack
4971347,566,NIG2141,2141,13 September 2008,2008,exact date,Violence against civilians,Attack,Military Forces of Nigeria (1999-2015) Joint Task Force,,state forces,Civilians (Nigeria),,civilians,military vs civilians,Western Africa,Nigeria,Bayelsa,Yenegoa,,Tombia,5.0001998,6.2652001,high,IRIN News,Other,Nigerian security forces attack villages in search of MEND militants; many civilians affected,0,1552577630,NGA,Violence against civilians,Attack
4971345,566,NIG2138,2138,13 September 2008,2008,within week,Battles,Armed clash,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Unidentified Armed Group (Nigeria),,political militias,rebels vs political militia,Western Africa,Nigeria,Bayelsa,Sagbama,,Niger Delta,4.8333001,6,medium,Xinhua News,International,Residents and MEND members clash in the Delta,0,1552577630,NGA,Battles,Armed clash
4971340,566,NIG2137,2137,13 September 2008,2008,exact date,Battles,Armed clash,Military Forces of Nigeria (1999-2015),,state forces,Unidentified Armed Group (Nigeria),,political militias,military vs political militia,Western Africa,Nigeria,Bayelsa,Sagbama,,Niger Delta,4.8333001,6,medium,Agence France Presse,International,The Army repels a militant attack off a Chevron oil Derek.,0,1552577630,NGA,Battles,Armed clash
4971382,566,NIG2136,2136,10 September 2008,2008,within week,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Imo,Obowo,,Umuariam,5.5558,7.3452001,high,Vanguard (Nigeria),National,"FORMER Imo State Commissioner for health, Dr. Goderick Chilezie Anosike, narrowly escaped death when yet-to-be identified armed actors stormed his Umuariam, Obowo Local Government area country home and shot him at close range.",0,1552577630,NGA,Violence against civilians,Attack
4971390,566,NIG2134,2134,09 September 2008,2008,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Ebonyi,Ebonyi,,Abakaliki,6.3162999,8.1169004,high,Vanguard (Nigeria),National,A police officer was shot dead by armed men Akwa Ibom State.,1,1552577630,NGA,Battles,Armed clash
4971398,566,NIG2133,2133,09 September 2008,2008,exact date,Battles,Non-state actor overtakes territory,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Bayelsa,Brass,,Sengana,4.3225002,5.9828,high,All Africa,Regional,Militants overran Conoil platform in Sangana; overpower Mobile Police Unit (MOPOL).,0,1552577630,NGA,Battles,Non-state actor overtakes territory
4971391,566,NIG2135,2135,09 September 2008,2008,exact date,Battles,Armed clash,AC: Action Congress,,political militias,Unidentified Armed Group (Nigeria),,political militias,political militia vs political militia,Western Africa,Nigeria,Lagos,Apapa,,Apapa,6.4456,3.3592,high,This Day (Nigeria),Subnational,Members of Action Congress and opposition group clash in Lagos State over a chairmanship candidate.,0,1552577630,NGA,Battles,Armed clash
4971481,566,NIG2132,2132,05 September 2008,2008,within week,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Unidentified Armed Group (Nigeria),,political militias,political militia vs political militia,Western Africa,Nigeria,Ebonyi,Ishielu,,Ezillo,6.4277,7.7926002,high,Vanguard (Nigeria),National,Bystanders in Ezillo suffer the effects of two rival groups clashing.,0,1552577630,NGA,Battles,Armed clash
4971541,566,NIG2128,2128,30 August 2008,2008,exact date,Battles,Armed clash,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015),,state forces,military vs rebels,Western Africa,Nigeria,Bayelsa,Yenegoa,,Yenagoa,4.9246998,6.2642002,high,Al Jazeera,International,MEND launches series of attacks on Nigerian army in Delta,0,1552577630,NGA,Battles,Armed clash
4971539,566,NIG2127,2127,30 August 2008,2008,exact date,Battles,Armed clash,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015),,state forces,military vs rebels,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,high,Al Jazeera,International,MEND launches series of attacks on Nigerian army in Delta,0,1552577630,NGA,Battles,Armed clash
4971538,566,NIG2129,2129,30 August 2008,2008,within week,Battles,Armed clash,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015),,state forces,military vs rebels,Western Africa,Nigeria,Delta,Oshimili South,,Asaba,6.2006001,6.7339001,low,Global Insight Daily Analysis,International,MEND kills up to 29 soldiers in a series of three coordinated attacks.,9,1552577630,NGA,Battles,Armed clash
4971542,566,NIG2131,2131,30 August 2008,2008,within week,Battles,Armed clash,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015),,state forces,military vs rebels,Western Africa,Nigeria,Bayelsa,Yenegoa,,Yenagoa,4.9246998,6.2642002,low,Global Insight Daily Analysis,International,MEND kills up to 29 soldiers in a series of three coordinated attacks.,9,1552577630,NGA,Battles,Armed clash
4971537,566,NIG2126,2126,30 August 2008,2008,exact date,Battles,Armed clash,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015),,state forces,military vs rebels,Western Africa,Nigeria,Delta,Oshimili South,,Asaba,6.2006001,6.7339001,high,Al Jazeera,International,MEND launches series of attacks on Nigerian army in Delta,0,1552577630,NGA,Battles,Armed clash
4971540,566,NIG2130,2130,30 August 2008,2008,within week,Battles,Armed clash,MEND: Movement for the Emancipation of the Niger Delta,,rebel groups,Military Forces of Nigeria (1999-2015),,state forces,military vs rebels,Western Africa,Nigeria,Rivers,Port-Harcourt,,Port Harcourt,4.7774,7.0134001,low,Global Insight Daily Analysis,International,MEND kills up to 29 soldiers in a series of three coordinated attacks.,10,1552577630,NGA,Battles,Armed clash
4971567,566,NIG2125,2125,28 August 2008,2008,exact date,Battles,Armed clash,Maiduguri Communal Militia (Nigeria),Police Forces of Nigeria (1999-2015); Vigilante Group (Nigeria),identity militias,Unidentified Armed Group (Nigeria),,political militias,political militia vs communal militia,Western Africa,Nigeria,Borno,Maiduguri,,Maiduguri,11.8464,13.1603,medium,Africa News,Regional,Six armed bandits were hacked down in Borno State as a vigilante group came to the rescue of a district police officer (DPO) who was attacked on the highway.,6,1552577630,NGA,Battles,Armed clash
4971586,566,NIG2124,2124,26 August 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Imo,Owerri-Municipal,,Owerri,5.4833002,7.0303998,high,All Africa,Regional,Okechukwu Iwuagwu,0,1552577630,NGA,Violence against civilians,Attack
5183374,566,NIG2122,2122,25 August 2008,2008,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Yobe,Jakusko,,Jakusko,12.3691,10.7731,high,All Africa,Regional,A man machetes seven to death in Yobe state for lack of payment of salary.,7,1558387849,NGA,Violence against civilians,Attack
