data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,event_code,subevent_code
4991502,566,NIG977,977,28 December 2002,2002,exact date,Violence against civilians,Attack,PDP: Peoples Democratic Party,,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Cross River,Obubra,,Oyina,6.0229001,8.3788004,high,All Africa,Regional,PDP supporters attack civilians in Oyina.,0,1552577652,NGA,Violence against civilians,Attack
4991556,566,NIG976,976,24 December 2002,2002,exact date,Violence against civilians,Attack,Police Forces of Nigeria (1999-2015),,state forces,Civilians (Nigeria),,civilians,military vs civilians,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,high,Agence France Presse,International,Police shoot and kill two robbers following a failed attempt on a bank in Lagos City.,2,1552577652,NGA,Violence against civilians,Attack
4991589,566,NIG975,975,20 December 2002,2002,exact date,Riots,Violent demonstration,Rioters (Nigeria),,rioters,Police Forces of Nigeria (1999-2015),,state forces,military vs rioters,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,high,All Africa,Regional,An irate mob take the life of a police officer to protest against the state of extra-judicial killing in Lagos State.,1,1552577652,NGA,Riots,Violent demonstration
4991676,566,NIG974,974,13 December 2002,2002,exact date,Battles,Armed clash,Fulani Ethnic Militia (Nigeria),Pastoralists (Nigeria),identity militias,Riyom Ethnic Militia (Nigeria),,identity militias,communal militia vs communal militia,Western Africa,Nigeria,Plateau,Jos North,,Jos,9.9285002,8.8921003,high,Reuters News,International,14 are dead when Fulani herdsmen and Riyom villagers clash in Jos over religious tenets.,14,1552577653,NGA,Battles,Armed clash
4991694,566,NIG973,973,11 December 2002,2002,exact date,Battles,Armed clash,Hausa Ethnic Militia (Nigeria),Fulani Ethnic Militia (Nigeria),identity militias,Yoruba Ethnic Militia (Nigeria),,identity militias,communal militia vs communal militia,Western Africa,Nigeria,Kwara,Asa,,Idi Araba,8.5166998,4.3832998,high,All Africa,Regional,As an ethnic riot breaks out in a Lagos suburb,0,1552577653,NGA,Battles,Armed clash
4991719,566,NIG972,972,09 December 2002,2002,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Oyo,Ibadan North West,,Ibadan,7.3878002,3.8964,high,All Africa,Regional,An unidentified armed group kills a civilian attempting to register to vote.,1,1552577653,NGA,Violence against civilians,Attack
4991777,566,NIG971,971,04 December 2002,2002,exact date,Violence against civilians,Attack,Police Forces of Nigeria (1999-2015),,state forces,Civilians (Nigeria),,civilians,military vs civilians,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Abuja,9.0832996,7.5332999,high,Africa News,Regional,Police shoot and kill a robber in the Wuse Division of Abuja.,1,1552577653,NGA,Violence against civilians,Attack
4991801,566,NIG970,970,02 December 2002,2002,within week,Riots,Mob violence,Rioters (Nigeria),Oviri-Olomu Ethnic Group (Nigeria),rioters,Rioters (Nigeria),Oviri-Olomu Ethnic Group (Nigeria),rioters,rioters vs rioters,Western Africa,Nigeria,Delta,Ughelli North,,Ughelli,5.4899001,6.0074,high,All Africa,Regional,15 are injured in an leadership fight within the community of Oviri-Olomu in Ughelli.,0,1552577653,NGA,Riots,Mob violence
4991810,566,NIG968,968,01 December 2002,2002,exact date,Battles,Armed clash,Yoruba Ethnic Militia (Nigeria),,identity militias,Military Forces of Nigeria (1999-2015),,state forces,military vs communal militia,Western Africa,Nigeria,Ondo,Owo,,Owo,7.1961999,5.5868001,high,Associated Press Newswires,International,At least 24 are killed when the Yoruba Militia seek to kill the tribal king of the village of Owo in this palace.,24,1552577653,NGA,Battles,Armed clash
4991824,566,NIG967,967,01 December 2002,2002,within week,Battles,Armed clash,Urhobo Ethnic Militia (Nigeria),,identity militias,Itsekiri Ethnic Militia (Nigeria),,identity militias,communal militia vs communal militia,Western Africa,Nigeria,Delta,Warri South,,Warri,5.5166998,5.75,high,Agence France Presse,International,Two killed in an ethnic riot in Warri.,2,1552577653,NGA,Battles,Armed clash
4991851,566,NIG966,966,28 November 2002,2002,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,high,All Africa,Regional,Masked pirates attack and overtake fishing boats on the seas outside of Lagos State.,0,1552577653,NGA,Violence against civilians,Attack
4991865,566,NIG965,965,27 November 2002,2002,exact date,Protests,Protest with intervention,Unidentified Armed Group (Nigeria),,political militias,Protesters (Nigeria),Muslim Group (Nigeria),protesters,political militia vs protesters,Western Africa,Nigeria,Abia,Aba South,,Aba,5.1065998,7.3667002,high,All Africa,Regional,protesting youths at Aba at the weekend attacked the Muslim community in retaliation of the Kaduna and Abuja riots,0,1552577653,NGA,Protests,Protest with intervention
4991868,566,NIG964,964,26 November 2002,2002,exact date,Battles,Armed clash,Unidentified Armed Group (Nigeria),,political militias,Police Forces of Nigeria (1999-2015),,state forces,military vs political militia,Western Africa,Nigeria,Lagos,Lagos Island,,Lagos,6.4531002,3.3958001,high,All Africa,Regional,Police engage a gang of five robbers in Lagos,0,1552577653,NGA,Battles,Armed clash
4991873,566,NIG963,963,25 November 2002,2002,exact date,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,political militias,Civilians (Nigeria),,civilians,political militia vs civilians,Western Africa,Nigeria,Lagos,Alimosho,,Alimosho,6.6107998,3.2960999,high,All Africa,Regional,Ogun State PDD gubernatorial aspirant,0,1552577653,NGA,Violence against civilians,Attack
